wind_code,name,industry,in_index_50,in_index_300,in_index_500,in_index_1000
002131.SZ,利欧股份,通讯服务,0,0,1,0
002138.SZ,顺络电子,信息技术,0,0,1,0
002139.SZ,拓邦股份,信息技术,0,0,0,1
002142.SZ,宁波银行,金融,0,1,0,0
002145.SZ,钛能化学,材料,0,0,0,1
002149.SZ,西部材料,材料,0,0,0,1
002151.SZ,北斗星通,工业,0,0,0,1
002152.SZ,广电运通,信息技术,0,0,1,0
002153.SZ,石基信息,信息技术,0,0,1,0
002155.SZ,湖南黄金,材料,0,0,1,0
002156.SZ,通富微电,信息技术,0,0,1,0
002157.SZ,正邦科技,日常消费,0,0,1,0
002158.SZ,汉钟精机,工业,0,0,0,1
002163.SZ,海南发展,工业,0,0,0,1
002170.SZ,芭田股份,材料,0,0,0,1
002171.SZ,楚江新材,材料,0,0,0,1
002174.SZ,游族网络,通讯服务,0,0,0,1
002176.SZ,江特电机,材料,0,0,0,1
002179.SZ,中航光电,信息技术,0,1,0,0
002182.SZ,宝武镁业,材料,0,0,0,1
002183.SZ,怡亚通,工业,0,0,0,1
002185.SZ,华天科技,信息技术,0,0,1,0
002192.SZ,融捷股份,材料,0,0,0,1
002194.SZ,武汉凡谷,信息技术,0,0,0,1
002195.SZ,岩山科技,信息技术,0,0,1,0
002202.SZ,金风科技,工业,0,0,1,0
002203.SZ,海亮股份,材料,0,0,1,0
002204.SZ,大连重工,工业,0,0,0,1
002212.SZ,天融信,信息技术,0,0,0,1
002215.SZ,诺普信,材料,0,0,0,1
002216.SZ,三全食品,日常消费,0,0,0,1
002219.SZ,新里程,医疗保健,0,0,0,1
002221.SZ,东华能源,能源,0,0,0,1
002222.SZ,福晶科技,信息技术,0,0,0,1
002223.SZ,鱼跃医疗,医疗保健,0,0,1,0
002226.SZ,江南化工,材料,0,0,0,1
002230.SZ,科大讯飞,信息技术,0,1,0,0
002233.SZ,塔牌集团,材料,0,0,0,1
002236.SZ,大华股份,信息技术,0,1,0,0
002237.SZ,恒邦股份,材料,0,0,0,1
002239.SZ,奥特佳,可选消费,0,0,0,1
002241.SZ,歌尔股份,可选消费,0,1,0,0
002242.SZ,九阳股份,可选消费,0,0,0,1
002243.SZ,力合科创,材料,0,0,0,1
002244.SZ,滨江集团,房地产,0,0,1,0
002245.SZ,蔚蓝锂芯,工业,0,0,0,1
002249.SZ,大洋电机,工业,0,0,0,1
002251.SZ,步步高,日常消费,0,0,0,1
002252.SZ,上海莱士,医疗保健,0,1,0,0
002254.SZ,泰和新材,材料,0,0,0,1
002258.SZ,利尔化学,材料,0,0,0,1
002261.SZ,拓维信息,信息技术,0,0,1,0
002262.SZ,恩华药业,医疗保健,0,0,1,0
002265.SZ,建设工业,工业,0,0,1,0
002266.SZ,浙富控股,工业,0,0,1,0
002267.SZ,陕天然气,公用事业,0,0,0,1
002268.SZ,电科网安,信息技术,0,0,0,1
002270.SZ,华明装备,工业,0,0,0,1
002271.SZ,东方雨虹,材料,0,0,1,0
002273.SZ,水晶光电,信息技术,0,0,1,0
002275.SZ,桂林三金,医疗保健,0,0,0,1
002276.SZ,万马股份,工业,0,0,0,1
002281.SZ,光迅科技,信息技术,0,0,1,0
002287.SZ,奇正藏药,医疗保健,0,0,0,1
002292.SZ,奥飞娱乐,可选消费,0,0,0,1
002294.SZ,信立泰,医疗保健,0,0,1,0
002299.SZ,圣农发展,日常消费,0,0,1,0
002302.SZ,西部建设,材料,0,0,0,1
002304.SZ,洋河股份,日常消费,0,1,0,0
002311.SZ,海大集团,日常消费,0,1,0,0
002312.SZ,川发龙蟒,材料,0,0,1,0
002315.SZ,焦点科技,信息技术,0,0,0,1
002317.SZ,众生药业,医疗保健,0,0,0,1
002318.SZ,久立特材,材料,0,0,1,0
002320.SZ,海峡股份,工业,0,0,0,1
002324.SZ,普利特,材料,0,0,0,1
002326.SZ,永太科技,材料,0,0,0,1
002332.SZ,仙琚制药,医疗保健,0,0,0,1
002335.SZ,科华数据,工业,0,0,1,0
002338.SZ,奥普光电,工业,0,0,0,1
002340.SZ,格林美,材料,0,0,1,0
002345.SZ,潮宏基,可选消费,0,0,0,1
002351.SZ,漫步者,可选消费,0,0,0,1
002352.SZ,顺丰控股,工业,0,1,0,0
002353.SZ,杰瑞股份,能源,0,0,1,0
002354.SZ,天娱数科,通讯服务,0,0,0,1
002364.SZ,中恒电气,工业,0,0,0,1
002368.SZ,太极股份,信息技术,0,0,0,1
002371.SZ,北方华创,信息技术,0,1,0,0
002372.SZ,伟星新材,工业,0,0,1,0
002373.SZ,千方科技,信息技术,0,0,0,1
002378.SZ,章源钨业,材料,0,0,0,1
002384.SZ,东山精密,信息技术,0,1,0,0
002385.SZ,大北农,日常消费,0,0,1,0
002389.SZ,航天彩虹,工业,0,0,0,1
002390.SZ,信邦制药,医疗保健,0,0,0,1
002396.SZ,星网锐捷,信息技术,0,0,0,1
002399.SZ,海普瑞,医疗保健,0,0,0,1
002400.SZ,省广集团,通讯服务,0,0,0,1
002402.SZ,和而泰,信息技术,0,0,1,0
002405.SZ,四维图新,信息技术,0,0,0,1
002408.SZ,齐翔腾达,材料,0,0,0,1
002409.SZ,雅克科技,信息技术,0,0,1,0
002410.SZ,广联达,信息技术,0,0,1,0
002414.SZ,高德红外,信息技术,0,0,1,0
002415.SZ,海康威视,信息技术,0,1,0,0
002416.SZ,爱施德,信息技术,0,0,0,1
002421.SZ,达实智能,信息技术,0,0,0,1
002422.SZ,科伦药业,医疗保健,0,1,0,0
002423.SZ,中粮资本,金融,0,0,1,0
002428.SZ,云南锗业,材料,0,0,0,1
002429.SZ,兆驰股份,可选消费,0,0,1,0
002430.SZ,杭氧股份,材料,0,0,1,0
002432.SZ,九安医疗,医疗保健,0,0,1,0
002434.SZ,万里扬,可选消费,0,0,0,1
002436.SZ,兴森科技,信息技术,0,0,1,0
002439.SZ,启明星辰,信息技术,0,0,1,0
002444.SZ,巨星科技,工业,0,0,1,0
002456.SZ,欧菲光,信息技术,0,0,0,1
002458.SZ,益生股份,日常消费,0,0,0,1
002459.SZ,晶澳科技,工业,0,1,0,0
002460.SZ,赣锋锂业,材料,0,1,0,0
002461.SZ,珠江啤酒,日常消费,0,0,1,0
002463.SZ,沪电股份,信息技术,0,1,0,0
002465.SZ,海格通信,信息技术,0,0,1,0
002466.SZ,天齐锂业,材料,0,1,0,0
002468.SZ,申通快递,工业,0,0,0,1
002472.SZ,双环传动,工业,0,0,1,0
002475.SZ,立讯精密,信息技术,0,1,0,0
002484.SZ,江海股份,信息技术,0,0,0,1
002487.SZ,大金重工,工业,0,0,0,1
002488.SZ,金固股份,可选消费,0,0,0,1
002489.SZ,浙江永强,可选消费,0,0,0,1
002493.SZ,荣盛石化,材料,0,1,0,0
002497.SZ,雅化集团,材料,0,0,0,1
002498.SZ,汉缆股份,工业,0,0,0,1
002500.SZ,山西证券,金融,0,0,1,0
002506.SZ,协鑫集成,工业,0,0,0,1
002507.SZ,涪陵榨菜,日常消费,0,0,0,1
002508.SZ,老板电器,可选消费,0,0,1,0
002511.SZ,中顺洁柔,日常消费,0,0,0,1
002516.SZ,旷达科技,可选消费,0,0,0,1
002517.SZ,恺英网络,通讯服务,0,0,1,0
002518.SZ,科士达,工业,0,0,0,1
002531.SZ,天顺风能,工业,0,0,0,1
002532.SZ,天山铝业,材料,0,0,1,0
002534.SZ,西子洁能,工业,0,0,0,1
002536.SZ,飞龙股份,可选消费,0,0,0,1
002537.SZ,海联金汇,可选消费,0,0,0,1
002539.SZ,云图控股,材料,0,0,0,1
002541.SZ,鸿路钢构,工业,0,0,0,1
002543.SZ,万和电气,可选消费,0,0,0,1
002544.SZ,普天科技,信息技术,0,0,0,1
002545.SZ,东方铁塔,材料,0,0,0,1
002550.SZ,千红制药,医疗保健,0,0,0,1
002557.SZ,洽洽食品,日常消费,0,0,0,1
002558.SZ,巨人网络,通讯服务,0,0,1,0
